ProductID,ProductName,CategoryID,CategoryName,SupplierID,Brand,UnitCost,UnitPrice,ReorderLevel,ReorderQuantity,LaunchDate,IsActive
PRD00025,Boult True Wireless Earbuds Plus 984,CAT001,Electronics,SUP047,Boult,1617.05,2348.16,51,118,2023-01-10,1
PRD00026,JBL Gaming Mechanical Keyboard Eco 986,CAT001,Electronics,SUP056,JBL,3047.01,4182.92,21,46,2024-08-11,1
PRD00027,Noise Portable Power Bank 20000mAh Classic 339,CAT001,Electronics,SUP025,Noise,15886.64,21177.44,20,72,2024-12-26,1
PRD00028,boAt Smartwatch Fitness Tracker Eco 137,CAT001,Electronics,SUP059,boAt,2641.37,4027.15,46,87,2024-02-17,1
PRD00029,Sony Fast USB-C Charging Hub Plus 519,CAT001,Electronics,SUP045,Sony,16157.43,24663.79,12,55,2023-06-20,1
PRD00030,Samsung Smartwatch Fitness Tracker Select 972,CAT001,Electronics,SUP040,Samsung,12589.59,17262.94,20,65,2024-09-02,1
PRD00031,Noise Wireless Noise-Canceling Headphones Prime 332,CAT001,Electronics,SUP045,Noise,13903.81,18632.2,13,73,2021-08-06,1
PRD00032,Sony Gaming Mechanical Keyboard Pro 432,CAT001,Electronics,SUP027,Sony,14800.0,19217.6,21,52,2022-04-17,1
PRD00033,boAt True Wireless Earbuds Plus 279,CAT001,Electronics,SUP041,boAt,1783.28,2653.86,40,138,2022-04-15,1
PRD00034,Mi Gaming Mechanical Keyboard Prime 782,CAT001,Electronics,SUP023,Mi,520.56,761.93,43,161,2022-02-15,1
PRD00035,Logitech True Wireless Earbuds Classic 806,CAT001,Electronics,SUP025,Logitech,4889.28,7229.47,16,49,2024-02-08,1
PRD00036,Zebronics True Wireless Earbuds Prime 816,CAT001,Electronics,SUP044,Zebronics,5708.44,8731.85,22,42,2021-10-28,1
PRD00037,Sony Compact Bluetooth Speaker Eco 952,CAT001,Electronics,SUP013,Sony,16760.42,21728.77,17,63,2023-04-21,1
PRD00038,Logitech True Wireless Earbuds Plus 743,CAT001,Electronics,SUP024,Logitech,2113.53,2962.9,27,114,2024-01-19,1
PRD00039,boAt Tablet Stylus Pen Max 402,CAT001,Electronics,SUP059,boAt,6279.95,8380.37,16,33,2023-09-17,1
PRD00040,boAt Gaming Mechanical Keyboard Prime 944,CAT001,Electronics,SUP005,boAt,17487.01,26675.54,19,72,2023-02-15,1
PRD00041,Noise Bluetooth Soundbar Classic 966,CAT001,Electronics,SUP030,Noise,14953.27,19732.0,22,25,2023-09-04,1
PRD00042,Logitech Ergonomic Wireless Mouse Classic 942,CAT001,Electronics,SUP021,Logitech,11939.67,15775.49,17,55,2021-10-18,1
PRD00043,Noise True Wireless Earbuds Max 750,CAT001,Electronics,SUP003,Noise,15302.97,22998.01,19,66,2024-02-05,1
PRD00044,Logitech UltraHD Smart LED TV Eco 218,CAT001,Electronics,SUP048,Logitech,2114.03,3159.2,33,124,2024-06-22,1
PRD00045,Boult Tablet Stylus Pen Classic 701,CAT001,Electronics,SUP027,Boult,13822.18,17414.18,23,66,2021-08-20,1
PRD00046,Sony Gaming Mechanical Keyboard Select 322,CAT001,Electronics,SUP023,Sony,8397.4,12754.14,21,31,2023-09-21,1
PRD00047,OnePlus UltraHD Smart LED TV Prime 294,CAT001,Electronics,SUP039,OnePlus,17922.95,27210.89,24,30,2022-11-21,1
PRD00048,Sony UltraHD Smart LED TV Select 349,CAT001,Electronics,SUP053,Sony,18297.1,26663.85,16,29,2022-10-07,1
PRD00049,Noise Noise Isolating Gaming Headset Select 892,CAT001,Electronics,SUP017,Noise,3028.11,4540.51,10,42,2022-03-18,1
PRD00050,boAt Compact Bluetooth Speaker Max 776,CAT001,Electronics,SUP002,boAt,16076.03,20155.67,21,75,2022-10-11,1
PRD00051,Logitech Bluetooth Soundbar Pro 229,CAT001,Electronics,SUP038,Logitech,13812.18,18906.15,12,55,2024-06-17,1
PRD00052,Mi Wireless Noise-Canceling Headphones Elite 729,CAT001,Electronics,SUP004,Mi,1137.08,1655.5,58,113,2024-11-01,1
PRD00053,OnePlus Fast USB-C Charging Hub Classic 802,CAT001,Electronics,SUP010,OnePlus,2309.51,3304.53,53,84,2021-06-20,1
PRD00054,boAt Wireless Noise-Canceling Headphones Prime 739,CAT001,Electronics,SUP039,boAt,11840.34,16291.52,20,49,2023-08-17,1
PRD00055,Samsung Smartwatch Fitness Tracker Max 973,CAT001,Electronics,SUP057,Samsung,12233.04,18236.77,27,71,2022-07-15,1
PRD00056,OnePlus Portable Power Bank 20000mAh Select 947,CAT001,Electronics,SUP017,OnePlus,8581.01,11452.31,13,45,2024-06-22,1
PRD00057,boAt Ergonomic Wireless Mouse Eco 168,CAT001,Electronics,SUP004,boAt,2005.73,2490.08,52,87,2023-03-18,1
PRD00058,Boult True Wireless Earbuds Select 786,CAT001,Electronics,SUP020,Boult,2568.5,3380.1,52,167,2021-05-20,1
PRD00059,Samsung Ergonomic Wireless Mouse Elite 258,CAT001,Electronics,SUP018,Samsung,12269.76,15692.67,13,47,2023-02-25,1
PRD00060,Noise True Wireless Earbuds Classic 965,CAT001,Electronics,SUP054,Noise,10531.53,15273.35,29,64,2021-10-22,1
PRD00061,Logitech Tablet Stylus Pen Pro 284,CAT001,Electronics,SUP010,Logitech,5309.86,7691.1,20,47,2021-03-28,1
PRD00062,OnePlus True Wireless Earbuds Max 245,CAT001,Electronics,SUP030,OnePlus,13798.59,21073.23,12,72,2022-07-14,1
PRD00063,boAt Ergonomic Wireless Mouse Select 419,CAT001,Electronics,SUP011,boAt,13446.97,19546.78,28,63,2021-01-05,1
PRD00064,JBL Compact Bluetooth Speaker Pro 790,CAT001,Electronics,SUP014,JBL,1830.7,2458.4,52,137,2024-07-09,1
PRD00065,Boult Compact Bluetooth Speaker Max 453,CAT001,Electronics,SUP026,Boult,8152.93,10562.87,28,56,2023-01-08,1
PRD00066,Sony True Wireless Earbuds Pro 309,CAT001,Electronics,SUP008,Sony,5820.76,7423.58,14,73,2023-05-11,1
PRD00067,Mi UltraHD Smart LED TV Classic 279,CAT001,Electronics,SUP056,Mi,2694.72,3694.12,39,139,2023-02-13,1
PRD00068,Sony Tablet Stylus Pen Classic 119,CAT001,Electronics,SUP046,Sony,8694.54,10777.06,20,61,2024-10-13,1
PRD00069,OnePlus Wi-Fi 6 Dual-Band Router Prime 217,CAT001,Electronics,SUP006,OnePlus,7701.34,11744.39,15,64,2024-12-12,1
PRD00070,Samsung Smartwatch Fitness Tracker Elite 546,CAT001,Electronics,SUP050,Samsung,11038.01,15101.4,22,44,2023-04-11,1
PRD00071,Samsung Bluetooth Soundbar Max 643,CAT001,Electronics,SUP010,Samsung,9605.63,14423.02,21,47,2022-04-04,1
PRD00072,Noise Gaming Mechanical Keyboard Plus 716,CAT001,Electronics,SUP037,Noise,3124.59,4522.2,12,36,2024-08-25,1
PRD00073,JBL Compact Bluetooth Speaker Eco 797,CAT001,Electronics,SUP010,JBL,17123.4,23649.92,30,64,2023-11-11,1
PRD00074,Samsung Fast USB-C Charging Hub Eco 552,CAT001,Electronics,SUP020,Samsung,11809.64,17249.82,28,28,2023-09-03,1
PRD00075,Mi Fast USB-C Charging Hub Pro 158,CAT001,Electronics,SUP036,Mi,7042.59,9132.03,30,30,2024-08-19,1
PRD00076,Sony Compact Bluetooth Speaker Eco 929,CAT001,Electronics,SUP007,Sony,10725.57,13611.14,29,55,2022-01-15,1
PRD00077,Zebronics Compact Bluetooth Speaker Max 616,CAT001,Electronics,SUP059,Zebronics,12077.21,14848.8,24,53,2022-06-12,1
PRD00078,OnePlus Gaming Mechanical Keyboard Classic 893,CAT001,Electronics,SUP007,OnePlus,6491.36,9036.37,30,66,2023-02-11,1
PRD00079,OnePlus 4K Action Camera Prime 358,CAT001,Electronics,SUP043,OnePlus,13485.77,19037.37,29,34,2023-02-19,1
PRD00080,Zebronics Bluetooth Soundbar Prime 771,CAT001,Electronics,SUP025,Zebronics,13027.41,17292.25,29,70,2021-05-18,1
PRD00081,Zebronics Wi-Fi 6 Dual-Band Router Plus 786,CAT001,Electronics,SUP002,Zebronics,13106.38,19888.54,26,30,2024-09-12,1
PRD00082,Logitech Ergonomic Wireless Mouse Plus 319,CAT001,Electronics,SUP019,Logitech,6552.44,9499.68,16,39,2022-03-03,1
PRD00083,Samsung Noise Isolating Gaming Headset Pro 777,CAT001,Electronics,SUP012,Samsung,6462.27,9369.31,14,63,2024-03-06,1
PRD00084,JBL Noise Isolating Gaming Headset Plus 838,CAT001,Electronics,SUP029,JBL,8293.77,11056.09,17,53,2023-12-26,1
PRD00085,Boult Portable Power Bank 20000mAh Elite 416,CAT001,Electronics,SUP019,Boult,17875.58,26032.76,16,48,2024-08-25,1
PRD00086,OnePlus Compact Bluetooth Speaker Classic 265,CAT001,Electronics,SUP056,OnePlus,15176.58,22194.93,14,41,2021-11-16,1
PRD00087,Boult Ergonomic Wireless Mouse Max 828,CAT001,Electronics,SUP058,Boult,15702.94,23253.22,19,30,2022-05-15,1
PRD00088,boAt 4K Action Camera Classic 193,CAT001,Electronics,SUP026,boAt,17527.4,22406.29,24,47,2021-07-02,1
PRD00089,Zebronics 4K Action Camera Elite 495,CAT001,Electronics,SUP022,Zebronics,18400.64,24330.95,10,45,2021-12-21,1
PRD00090,boAt Compact Bluetooth Speaker Plus 139,CAT001,Electronics,SUP001,boAt,5556.86,8184.6,14,73,2024-08-20,1
PRD00091,Sony Wireless Noise-Canceling Headphones Prime 320,CAT001,Electronics,SUP019,Sony,15504.58,21335.5,29,58,2024-02-25,1
PRD00092,Logitech Portable Power Bank 20000mAh Max 148,CAT001,Electronics,SUP058,Logitech,4677.68,6575.52,29,54,2021-02-27,1
PRD00093,JBL Fast USB-C Charging Hub Pro 747,CAT001,Electronics,SUP023,JBL,9704.07,12459.16,14,43,2024-01-20,1
PRD00094,JBL Portable Power Bank 20000mAh Classic 291,CAT001,Electronics,SUP031,JBL,12408.34,15405.56,21,29,2021-07-28,1
PRD00095,OnePlus UltraHD Smart LED TV Select 359,CAT001,Electronics,SUP041,OnePlus,13913.8,18324.65,12,47,2022-12-22,1
PRD00096,JBL Wireless Noise-Canceling Headphones Select 236,CAT001,Electronics,SUP041,JBL,1154.69,1587.91,36,174,2024-12-16,1
PRD00097,boAt Bluetooth Soundbar Max 833,CAT001,Electronics,SUP021,boAt,14437.86,19452.93,19,37,2021-04-02,1
PRD00098,Boult Gaming Mechanical Keyboard Classic 934,CAT001,Electronics,SUP050,Boult,10206.01,13136.22,30,37,2023-06-28,1
PRD00099,Zebronics UltraHD Smart LED TV Prime 227,CAT001,Electronics,SUP012,Zebronics,14858.06,19924.5,22,72,2024-07-11,1
PRD00100,Mi Fast USB-C Charging Hub Select 916,CAT001,Electronics,SUP012,Mi,9774.86,14294.81,23,30,2024-10-27,1
PRD00101,Logitech 4K Action Camera Select 205,CAT001,ELECTR,SUP029,Logitech,1803.25,2548.25,44,132,2024-03-23,1
PRD00102,Mi Ergonomic Wireless Mouse Pro 844,CAT001,Electronics,SUP041,Mi,16141.17,21236.57,23,42,2021-02-22,1
PRD00103,Zebronics Smartwatch Fitness Tracker Plus 131,CAT001,Electronics,SUP050,Zebronics,2941.45,4104.09,53,79,2022-02-08,1
PRD00104,Zebronics Wi-Fi 6 Dual-Band Router Select 492,CAT001,Electronics,SUP029,Zebronics,17582.83,21587.41,14,68,2024-06-12,1
PRD00105,Samsung Compact Bluetooth Speaker Plus 642,CAT001,Electronics,SUP012,Samsung,7010.14,9145.0,18,40,2021-01-24,1
PRD00106,Boult Fast USB-C Charging Hub Classic 675,CAT001,Electronics,SUP013,Boult,2487.36,3614.0,53,102,2023-12-16,1
PRD00107,boAt Wireless Noise-Canceling Headphones Max 562,CAT001,Electronics,SUP046,boAt,3483.71,4985.79,12,68,2023-11-12,1
PRD00108,Boult Wireless Noise-Canceling Headphones Prime 407,CAT001,Electronics,SUP008,Boult,15802.22,22607.14,30,36,2023-09-08,1
PRD00109,boAt Portable Power Bank 20000mAh Elite 909,CAT001,Electronics,SUP040,boAt,9316.5,12280.41,28,48,2024-09-05,1
PRD00110,Samsung Wireless Noise-Canceling Headphones Prime 507,CAT001,Electronics,SUP009,Samsung,18492.65,26501.66,26,51,2024-10-03,1
PRD00111,Samsung Ergonomic Wireless Mouse Eco 577,CAT001,Electronics,SUP033,Samsung,12693.98,16671.18,27,65,2022-03-14,1
PRD00112,Sony Noise Isolating Gaming Headset Max 630,CAT001,Electronics,SUP058,Sony,3127.23,3948.48,20,70,2022-06-17,1
PRD00113,Samsung Gaming Mechanical Keyboard Prime 301,CAT001,Electronics,SUP006,Samsung,11876.29,16350.49,14,65,2023-10-18,1
PRD00114,boAt 4K Action Camera Plus 275,CAT001,Electronics,SUP003,boAt,12306.0,17643.2,29,46,2021-01-03,1
PRD00115,JBL Wi-Fi 6 Dual-Band Router Prime 766,CAT001,Electronics,SUP035,JBL,4176.17,5778.27,29,65,2021-08-21,1
PRD00116,Logitech Gaming Mechanical Keyboard Eco 350,CAT001,Electronics,SUP011,Logitech,14955.09,21256.57,19,54,2021-12-02,1
PRD00117,OnePlus Fast USB-C Charging Hub Eco 575,CAT001,Electronics,SUP023,OnePlus,4053.02,5653.79,20,70,2023-12-28,1
PRD00118,boAt Smartwatch Fitness Tracker Select 627,CAT001,Electronics,SUP010,boAt,10543.97,13769.46,24,32,2023-08-08,1
PRD00119,Sony Wireless Noise-Canceling Headphones Prime 493,CAT001,Electronics,SUP011,Sony,16034.57,21410.34,15,45,2023-04-25,1
PRD00120,Boult Fast USB-C Charging Hub Eco 610,CAT001,Electronics,SUP038,Boult,16305.22,22170.49,12,50,2024-04-07,1
PRD00121,Sony Ergonomic Wireless Mouse Pro 388,CAT001,Electronics,SUP001,Sony,9332.33,13928.8,30,68,2024-05-18,1
PRD00122,Samsung Noise Isolating Gaming Headset Classic 237,CAT001,Electronics,SUP037,Samsung,16366.57,23504.26,22,48,2021-07-02,1
PRD00123,Noise 4K Action Camera Select 666,CAT001,Electronics,SUP040,Noise,5588.12,7408.15,24,73,2023-10-22,1
PRD00124,boAt Wireless Noise-Canceling Headphones Max 503,CAT001,Electronics,SUP033,boAt,7123.55,10921.57,27,48,2022-04-20,1
PRD00125,Boult Smartwatch Fitness Tracker Pro 146,CAT001,Electronics,SUP058,Boult,1056.29,1511.82,55,141,2024-03-20,1
PRD00126,boAt 4K Action Camera Select 727,CAT001,Electronics,SUP033,boAt,6131.32,8140.39,29,72,2023-10-11,1
PRD00127,Boult Noise Isolating Gaming Headset Eco 825,CAT001,Electronics,SUP027,Boult,10567.08,14293.97,10,48,2023-11-04,1
PRD00128,Logitech True Wireless Earbuds Pro 711,CAT001,Electronics,SUP038,Logitech,8963.81,13672.72,28,61,2022-12-02,1
PRD00129,boAt Fast USB-C Charging Hub Classic 251,CAT001,Electronics,SUP029,boAt,15263.15,19597.62,28,69,2021-04-01,1
PRD00130,OnePlus Ergonomic Wireless Mouse Plus 522,CAT001,Electronics,SUP034,OnePlus,12882.58,17171.37,29,55,2021-12-05,1
PRD00131,Boult Portable Power Bank 20000mAh Select 778,CAT001,Electronics,SUP044,Boult,9032.43,11948.61,15,54,2023-09-12,1
PRD00132,Logitech Compact Bluetooth Speaker Eco 296,CAT001,Electronics,SUP014,Logitech,17725.67,22943.8,19,39,2023-05-23,1
PRD00133,Mi Tablet Stylus Pen Select 591,CAT001,Electronics,SUP035,Mi,6680.78,10102.94,18,43,2021-10-22,1
PRD00134,OnePlus Smartwatch Fitness Tracker Select 891,CAT001,Electronics,SUP042,OnePlus,14953.78,19404.79,19,70,2021-06-15,1
PRD00135,Crompton Heavy Weight Dry Iron Elite 306,CAT002,Home Appliances,SUP040,Crompton,6866.63,9390.96,27,69,2023-03-04,1
PRD00136,Havells Garment Steamer Portable Elite 151,CAT002,Home Appliances,SUP022,Havells,5641.21,8242.41,30,39,2021-02-14,1
PRD00137,Crompton Garment Steamer Portable Max 797,CAT002,Home Appliances,SUP031,Crompton,6423.44,8245.04,27,35,2024-11-16,1
PRD00138,Havells Ionic Hair Dryer 2000W Prime 428,CAT002,Home Appliances,SUP047,Havells,2661.97,3460.02,30,158,2022-09-24,1
PRD00139,Prestige Convection Microwave Oven Classic 957,CAT002,Home Appliances,SUP056,Prestige,1812.36,2949.49,50,175,2024-03-24,1
PRD00140,Philips Heavy Weight Dry Iron Pro 405,CAT002,Home Appliances,SUP034,Philips,4851.7,6378.06,20,43,2024-11-18,1
PRD00141,Prestige Steam Iron 1800W Eco 379,CAT002,Home Appliances,SUP046,Prestige,1944.29,2559.21,35,168,2024-11-09,1
PRD00142,Philips Electric Kettle 1.8L Select 909,CAT002,Home Appliances,SUP021,Philips,2736.44,4154.89,37,97,2024-07-17,1
PRD00143,Kent Air Fryer Digital 4.5L Max 289,CAT002,Home Appliances,SUP029,Kent,8058.06,11610.06,17,25,2023-07-08,1
PRD00144,Morphy Richards Vacuum Cleaner Handheld Select 409,CAT002,Home Appliances,SUP004,Morphy Richards,4964.07,7333.73,18,66,2023-12-08,1
PRD00145,Bajaj Ionic Hair Dryer 2000W Eco 414,CAT002,Home Appliances,SUP999,Bajaj,1687.81,2570.9,44,163,2021-11-10,1
PRD00146,Havells Multi-Cooker Electric Pan Elite 236,CAT002,Home Appliances,SUP059,Havells,4155.91,5953.14,29,48,2024-12-18,1
PRD00147,Havells Steam Iron 1800W Elite 796,CAT002,Home Appliances,SUP024,Havells,6299.23,10113.79,12,58,2024-09-23,1
PRD00148,Bajaj Air Fryer Digital 4.5L Pro 948,CAT002,Home Appliances,SUP055,Bajaj,4694.28,6813.06,28,59,2022-03-11,1
PRD00149,Crompton Pop-up 4-Slice Toaster Max 796,CAT002,Home Appliances,SUP009,Crompton,2041.86,3024.83,30,140,2024-01-15,1
PRD00150,Kent Pop-up 4-Slice Toaster Eco 677,CAT002,Home Appliances,SUP053,Kent,897.46,1288.03,44,167,2021-07-09,1
PRD00151,Havells Convection Microwave Oven Max 146,CAT002,Home Appliances,SUP019,Havells,3733.65,5709.55,27,28,2021-08-02,1
PRD00152,Prestige Tower Air Cooler Plus 884,CAT002,Home Appliances,SUP059,Prestige,5421.82,8357.62,23,48,2024-08-28,1
PRD00153,Kent Tower Air Cooler Max 799,CAT002,Home Appliances,SUP035,Kent,7922.12,12724.66,14,66,2023-02-06,1
PRD00154,Prestige Tower Air Cooler Elite 954,CAT002,Home Appliances,SUP053,Prestige,476.92,614.66,98,268,2024-09-13,1
PRD00155,Havells Induction Cooktop 2000W Eco 454,CAT002,Home Appliances,SUP060,Havells,1652.19,2214.51,32,79,2024-10-25,1
PRD00156,Havells Convection Microwave Oven Elite 168,CAT002,Home Appliances,SUP015,Havells,1231.95,1591.76,28,106,2021-07-15,1
PRD00157,Havells Pop-up 4-Slice Toaster Pro 243,CAT002,Home Appliances,SUP057,Havells,4355.19,5982.96,28,45,2023-04-10,1
PRD00158,Havells Electric Kettle 1.8L Classic 407,CAT002,Home Appliances,SUP004,Havells,2582.44,3798.87,36,155,2024-09-16,1
PRD00159,Kent Hand Blender & Chopper Select 813,CAT002,Home Appliances,SUP015,Kent,3676.52,4881.58,22,36,2024-04-28,1
PRD00160,Prestige Heavy Weight Dry Iron Eco 159,CAT002,Home Appliances,SUP017,Prestige,4808.49,7937.44,27,58,2022-07-08,1
PRD00161,Usha Induction Cooktop 2000W Max 560,CAT002,Home Appliances,SUP039,Usha,7015.28,9190.04,16,28,2023-07-22,1
PRD00162,Philips Multi-Cooker Electric Pan Max 292,CAT002,Home Appliances,SUP059,Philips,6686.04,9916.48,27,38,2024-04-28,1
PRD00163,Morphy Richards Hand Blender & Chopper Pro 316,CAT002,Home Appliances,SUP039,Morphy Richards,7712.99,12710.38,13,72,2024-04-23,1
PRD00164,Havells Garment Steamer Portable Classic 345,CAT002,Home Appliances,SUP024,Havells,4728.61,7383.75,22,54,2023-05-09,1
PRD00165,Crompton Pop-up 4-Slice Toaster Eco 200,CAT002,Home Appliances,SUP003,Crompton,6671.83,10264.9,20,38,2023-06-14,1
PRD00166,Havells Multi-Cooker Electric Pan Plus 116,CAT002,Home Appliances,SUP015,Havells,2471.0,4039.27,51,112,2022-04-11,1
PRD00167,Havells Tower Air Cooler Eco 663,CAT002,Home Appliances,SUP048,Havells,5523.21,8410.2,18,73,2024-12-21,1
PRD00168,Crompton Steam Iron 1800W Plus 850,CAT002,Home Appliances,SUP004,Crompton,6611.06,8820.25,27,56,2022-09-21,1
PRD00169,Philips Pop-up 4-Slice Toaster Max 937,CAT002,Home Appliances,SUP010,Philips,5628.67,8761.68,23,33,2022-02-23,1
PRD00170,Havells Convection Microwave Oven Eco 482,CAT002,Home Appliances,SUP035,Havells,918.49,1380.75,55,159,2024-01-01,1
PRD00171,Kent Pop-up 4-Slice Toaster Pro 117,CAT002,Home Appliances,SUP059,Kent,4552.99,6232.31,19,26,2024-03-04,1
PRD00172,Prestige Air Fryer Digital 4.5L Elite 296,CAT002,Home Appliances,SUP026,Prestige,5253.3,7151.58,21,42,2024-02-12,1
PRD00173,Havells Steam Iron 1800W Elite 407,CAT002,Home Appliances,SUP025,Havells,5751.32,9167.15,30,66,2021-02-13,1
PRD00174,Crompton Tower Air Cooler Pro 752,CAT002,Home Appliances,SUP007,Crompton,523.24,698.44,56,130,2023-10-28,1
PRD00175,Philips Pop-up 4-Slice Toaster Elite 316,CAT002,Home Appliances,SUP044,Philips,7434.87,11344.22,28,55,2023-01-03,1
PRD00176,Philips Heavy Weight Dry Iron Plus 970,CAT002,Home Appliances,SUP011,Philips,2887.26,4757.11,34,171,2024-02-10,1
PRD00177,Havells Multi-Cooker Electric Pan Classic 793,CAT002,Home Appliances,SUP023,Havells,7398.07,10270.98,14,75,2021-09-24,1
PRD00178,Bajaj Convection Microwave Oven Classic 337,CAT002,Home Appliances,SUP041,Bajaj,6949.73,9669.95,29,63,2024-06-01,1
PRD00179,Crompton Heavy Weight Dry Iron Eco 333,CAT002,Home Appliances,SUP040,Crompton,3207.54,5253.14,23,36,2024-02-25,1
PRD00180,Havells Heavy Weight Dry Iron Max 184,CAT002,Home Appliances,SUP007,Havells,2526.78,3550.84,34,169,2024-06-12,1
PRD00181,Philips Air Fryer Digital 4.5L Prime 555,CAT002,Home Appliances,SUP036,Philips,3239.36,4428.73,14,30,2022-07-15,1
PRD00182,Kent Pop-up 4-Slice Toaster Max 126,CAT002,Home Appliances,SUP025,Kent,1144.55,1682.57,45,124,2021-05-14,1
PRD00183,Bajaj Vacuum Cleaner Handheld Elite 685,CAT002,Home Appliances,SUP032,Bajaj,4488.56,6835.62,15,33,2023-05-09,1
PRD00184,Bajaj Electric Kettle 1.8L Plus 545,CAT002,Home Appliances,SUP041,Bajaj,2588.7,3565.48,29,121,2023-04-24,1
PRD00185,Havells Steam Iron 1800W Eco 209,CAT002,Home Appliances,SUP022,Havells,1500.04,1926.14,50,117,2024-06-15,1
PRD00186,Prestige Tower Air Cooler Prime 428,CAT002,Home Appliances,SUP019,Prestige,5124.89,7826.08,25,45,2022-07-11,1
PRD00187,Crompton Garment Steamer Portable Elite 433,CAT002,Home Appliances,SUP038,Crompton,3364.43,5314.8,22,48,2021-10-07,1
PRD00188,Prestige Pop-up 4-Slice Toaster Pro 844,CAT002,Home Appliances,SUP032,Prestige,4027.57,6172.58,24,43,2021-07-22,1
PRD00189,Morphy Richards Electric Kettle 1.8L Elite 358,CAT002,Home Appliances,SUP038,Morphy Richards,5554.64,8529.1,22,29,2024-10-16,1
PRD00190,Kent Tower Air Cooler Pro 909,CAT002,Home Appliances,SUP016,Kent,7955.32,12169.57,27,63,2021-02-25,1
PRD00191,Usha Ionic Hair Dryer 2000W Plus 762,CAT002,Home Appliances,SUP028,Usha,5198.25,7660.03,30,68,2024-06-26,1
PRD00192,Philips Air Fryer Digital 4.5L Max 364,CAT002,Home Appliances,SUP026,Philips,2170.51,3362.18,60,149,2022-08-12,1
PRD00193,Prestige Steam Iron 1800W Select 125,CAT002,Home Appliances,SUP022,Prestige,4191.48,5766.86,12,32,2022-06-10,1
PRD00194,Havells Steam Iron 1800W Eco 456,CAT002,Home Appliances,SUP052,Havells,4140.26,5905.12,24,45,2021-05-02,1
