PurchaseOrderID,OrderDate,SupplierID,StoreID,ProductID,OrderedQuantity,ReceivedQuantity,UnitCost,ExpectedDeliveryDate,ActualDeliveryDate,Status
PO2025000023,2025-08-27,SUP047,STR011,PRD00350,103,103,735.62,2025-09-03,2025-09-07,Delayed
PO2025000024,2025-10-20,SUP053,STR041,PRD00046,31,31,8397.4,2025-10-29,2025-10-28,Completed
PO2025000025,2025-06-01,SUP054,STR017,PRD00901,105,105,2071.57,2025-06-07,2025-06-06,Completed
PO2025000026,2025-12-02,SUP039,STR035,PRD00136,39,39,5641.21,2025-12-17,2025-12-16,Completed
PO2025000027,2025-07-02,SUP040,STR020,PRD00884,152,152,1086.34,2025-07-15,2025-07-15,Completed
PO2025000028,2025-01-04,SUP043,STR007,PRD01136,36,0,4125.05,2025-01-24,,Cancelled
PO2025000029,2025-09-11,SUP017,STR002,PRD01154,113,113,611.46,2025-09-19,2025-09-19,Completed
PO2025000030,2025-05-27,SUP027,STR005,PRD00513,270,270,92.76,2025-06-15,2025-06-13,Completed
PO2025000031,2025-12-14,SUP028,STR035,PRD00015,151,0,2931.59,2025-12-24,,In-Transit
PO2025000032,2025-11-27,SUP002,STR028,PRD00461,254,254,169.45,2025-12-06,2025-12-07,Completed
PO2025000033,2025-04-22,SUP016,STR005,PRD00200,122,122,1363.43,2025-05-07,2025-05-07,Completed
PO2025000034,2025-08-01,SUP033,STR032,PRD00536,397,397,270.95,2025-08-07,2025-08-07,Completed
PO2025000035,2025-09-05,SUP024,STR015,PRD00198,160,160,2976.38,2025-09-26,2025-09-24,Completed
PO2025000036,2025-12-14,SUP023,STR019,PRD00244,27,0,5766.93,2025-12-21,,In-Transit
PO2025000037,2025-05-31,SUP046,STR014,PRD00506,126,126,579.1,2025-06-15,2025-06-13,Completed
PO2025000038,2025-05-17,SUP035,STR039,PRD01035,332,332,125.07,2025-06-06,2025-06-06,Completed
PO2025000039,2025-12-07,SUP028,STR013,PRD00626,283,283,75.93,2025-12-17,2025-12-15,Completed
PO2025000040,2025-07-09,SUP048,STR028,PRD00428,388,388,244.75,2025-07-22,2025-07-22,Completed
PO2025000041,2025-04-08,SUP043,STR031,PRD00698,175,175,1094.59,2025-04-28,2025-04-26,Completed
PO2025000042,2025-05-25,SUP052,STR034,PRD00515,318,318,473.21,2025-06-01,2025-05-30,Completed
PO2025000043,2025-12-20,SUP020,STR034,PRD00722,169,0,1170.85,2025-12-23,,In-Transit
PO2025000044,2025-09-13,SUP040,STR003,PRD00661,281,281,283.68,2025-09-26,2025-09-26,Completed
PO2025000045,2025-08-16,SUP047,STR028,PRD01071,32,32,3412.0,2025-08-23,2025-08-22,Completed
PO2025000046,2025-06-15,SUP030,STR041,PRD00428,388,388,244.75,2025-06-24,2025-06-23,Completed
PO2025000047,2025-11-14,SUP019,STR008,PRD00167,73,73,5523.21,2025-11-20,2025-11-24,Delayed
PO2025000048,2025-02-25,SUP006,STR026,PRD00898,164,164,1834.2,2025-03-02,2025-03-02,Completed
PO2025000049,2025-08-29,SUP028,STR008,PRD01031,133,133,523.37,2025-09-08,2025-09-06,Completed
PO2025000050,2025-09-22,SUP005,STR028,PRD00418,371,371,315.43,2025-09-30,2025-09-29,Completed
PO2025000051,2025-09-19,SUP021,STR020,PRD01184,63,63,3182.7,2025-10-02,2025-10-01,Completed
PO2025000052,2025-05-18,SUP024,STR005,PRD00226,139,139,2122.01,2025-06-08,2025-06-06,Completed
PO2025000053,2025-11-27,SUP013,STR002,PRD00143,25,25,8058.06,2025-12-07,2025-12-07,Completed
PO2025000054,2025-05-24,SUP007,STR015,PRD00269,400,400,99.82,2025-06-14,2025-06-22,Delayed
PO2025000055,2025-09-21,SUP051,STR013,PRD00765,78,78,920.94,2025-09-25,2025-09-23,Completed
PO2025000056,2025-12-20,SUP009,STR010,PRD00493,381,0,446.5,2025-12-30,,In-Transit
PO2025000057,2025-03-13,SUP007,STR023,PRD00702,85,85,988.64,2025-04-03,2025-04-13,Delayed
PO2025000058,2025-01-18,SUP039,STR007,PRD00805,159,159,2163.81,2025-02-02,2025-02-02,Completed
PO2025000059,2025-11-01,SUP015,STR009,PRD00641,352,352,333.12,2025-11-06,2025-11-07,Completed
PO2025000060,2025-01-24,SUP007,STR026,PRD00757,82,82,1037.87,2025-02-14,2025-02-14,Completed
PO2025000061,2025-03-23,SUP003,STR039,PRD01056,287,287,302.01,2025-04-11,2025-04-10,Completed
PO2025000062,2025-03-02,SUP002,STR027,PRD00172,42,42,5253.3,2025-03-11,2025-03-10,Completed
PO2025000063,2025-04-05,SUP026,STR020,PRD00974,320,320,106.76,2025-04-14,2025-04-14,Completed
PO2025000064,2025-01-03,SUP032,STR012,PRD00176,171,171,2887.26,2025-01-13,2025-01-13,Completed
PO2025000065,2025-11-06,SUP008,STR011,PRD00375,228,228,365.06,2025-11-20,2025-11-21,Completed
PO2025000066,2025-03-12,SUP038,STR024,PRD00179,36,36,3207.54,2025-03-23,2025-03-22,Completed
PO2025000067,2025-01-31,SUP058,STR023,PRD00485,175,175,593.15,2025-02-14,2025-02-14,Completed
PO2025000068,2025-05-18,SUP003,STR040,PRD00471,305,305,495.35,2025-06-06,2025-06-04,Completed
PO2025000069,2025-01-08,SUP031,STR040,PRD00173,66,66,5751.32,2025-01-15,2025-01-14,Completed
PO2025000070,2025-12-06,SUP011,STR040,PRD00695,89,89,1276.46,2025-12-22,2025-12-23,Completed
PO2025000071,2025-05-06,SUP036,STR012,PRD00523,141,141,656.14,2025-05-17,2025-05-17,Completed
PO2025000072,2025-08-24,SUP048,STR026,PRD00076,55,55,10725.57,2025-09-06,2025-09-05,Completed
PO2025000073,2025-09-26,SUP047,STR032,PRD00975,135,135,598.5,2025-10-03,2025-10-04,Completed
PO2025000074,2025-01-12,SUP019,STR041,PRD00654,317,317,324.39,2025-01-18,2025-01-25,Delayed
PO2025000075,2025-05-06,SUP017,STR013,PRD00351,107,107,503.24,2025-05-14,2025-05-13,Completed
PO2025000076,2025-02-08,SUP012,STR034,PRD00032,52,52,14800.0,2025-02-19,2025-02-18,Completed
PO2025000077,2025-01-02,SUP028,STR035,PRD01071,32,32,3412.0,2025-01-12,2025-01-10,Completed
PO2025000078,2025-10-12,SUP022,STR001,PRD00964,151,151,575.19,2025-10-24,2025-10-23,Completed
PO2025000079,2025-05-21,SUP023,STR024,PRD00190,63,55,7955.32,2025-05-28,2025-06-07,Delayed
PO2025000080,2025-07-04,SUP054,STR011,PRD00005,69,69,18438.86,2025-07-10,2025-07-09,Completed
PO2025000081,2025-09-17,SUP016,STR028,PRD01141,167,167,810.65,2025-10-02,2025-10-16,Delayed
PO2025000082,2025-11-22,SUP008,STR005,PRD00641,352,352,333.12,2025-12-06,2025-12-04,Completed
PO2025000083,2025-11-02,SUP016,STR002,PRD00661,281,281,283.68,2025-11-17,2025-11-15,Completed
PO2025000084,2025-08-05,SUP048,STR039,PRD00205,144,144,1335.1,2025-08-18,2025-08-16,Completed
PO2025000085,2025-02-13,SUP012,STR034,PRD00220,35,29,4561.44,2025-02-24,2025-03-04,Delayed
PO2025000086,2025-04-05,SUP015,STR040,PRD00696,137,137,1080.02,2025-04-10,2025-04-11,Completed
PO2025000087,2025-03-19,SUP001,STR022,PRD00070,44,44,11038.01,2025-03-25,2025-03-26,Completed
PO2025000088,2025-04-08,SUP015,STR030,PRD00431,146,146,521.2,2025-04-13,2025-04-11,Completed
PO2025000089,2025-04-30,SUP049,STR021,PRD00436,87,87,507.7,2025-05-16,2025-05-15,Completed
PO2025000090,2025-02-28,SUP052,STR004,PRD01073,141,141,2440.45,2025-03-07,2025-03-08,Completed
PO2025000091,2025-08-24,SUP050,STR006,PRD00643,174,174,217.6,2025-08-28,2025-08-26,Completed
PO2025000092,2025-11-18,SUP020,STR035,PRD00245,36,0,4429.31,2025-11-21,,Cancelled
PO2025000093,2025-02-19,SUP060,STR033,PRD00709,224,224,153.05,2025-03-07,2025-03-05,Completed
PO2025000094,2025-04-09,SUP011,STR032,PRD01016,260,260,161.4,2025-04-25,2025-05-01,Delayed
PO2025000095,2025-05-10,SUP033,STR029,PRD00181,30,30,3239.36,2025-05-16,2025-05-15,Completed
PO2025000096,2025-09-09,SUP006,STR002,PRD00975,135,135,598.5,2025-09-14,2025-09-12,Completed
PO2025000097,2025-04-19,SUP001,STR028,PRD01139,166,166,1844.56,2025-04-25,2025-04-25,Completed
PO2025000098,2025-12-23,SUP040,STR009,PRD00693,163,0,1671.42,2026-01-05,,In-Transit
PO2025000099,2025-09-25,SUP002,STR022,PRD01163,43,43,3716.06,2025-10-04,2025-10-03,Completed
PO2025000100,2025-11-17,SUP058,STR037,PRD00250,136,136,2737.07,2025-12-01,2025-12-06,Delayed
PO2025000101,2025-09-30,SUP015,STR032,PRD00679,155,155,1865.54,2025-10-05,2025-10-03,Completed
PO2025000102,2025-04-02,SUP003,STR015,PRD00869,180,180,2366.4,2025-04-21,2025-04-19,Completed
PO2025000103,2025-10-17,SUP048,STR012,PRD00974,320,320,106.76,2025-10-30,2025-10-29,Completed
PO2025000104,2025-02-28,SUP031,STR012,PRD01106,164,164,1669.16,2025-03-07,2025-03-06,Completed
PO2025000105,2025-07-09,SUP027,STR039,PRD00020,173,173,1948.29,2025-07-28,2025-07-26,Completed
PO2025000106,2025-04-21,SUP049,STR013,PRD00967,235,0,28.54,2025-05-07,,Cancelled
PO2025000107,2025-11-14,SUP004,STR016,PRD00295,135,135,568.49,2025-11-25,2025-11-25,Completed
PO2025000108,2025-06-11,SUP039,STR009,PRD00468,171,171,148.32,2025-06-26,2025-06-27,Completed
PO2025000109,2025-08-13,SUP002,STR019,PRD00580,194,194,211.3,2025-08-22,2025-08-26,Delayed
PO2025000110,2025-05-08,SUP023,STR030,PRD00656,172,172,141.1,2025-05-15,2025-05-16,Completed
PO2025000111,2025-08-30,SUP041,STR030,PRD01126,94,94,1651.37,2025-09-14,2025-09-12,Completed
PO2025000112,2025-03-07,SUP040,STR019,PRD00011,44,44,9834.69,2025-03-20,2025-03-18,Completed
PO2025000113,2025-09-05,SUP036,STR002,PRD00258,174,174,1594.77,2025-09-16,2025-09-14,Completed
PO2025000114,2025-11-12,SUP017,STR014,PRD00860,160,160,417.51,2025-11-20,2025-11-26,Delayed
PO2025000115,2025-01-26,SUP016,STR039,PRD00210,40,40,5533.2,2025-02-10,2025-02-08,Completed
PO2025000116,2025-12-10,SUP051,STR013,PRD00185,117,117,1500.04,2025-12-14,2025-12-14,Completed
PO2025000117,2025-12-02,SUP010,STR026,PRD01120,49,49,4399.96,2025-12-09,2025-12-07,Completed
PO2025000118,2025-11-16,SUP060,STR032,PRD01017,171,171,591.69,2025-12-02,2025-12-02,Completed
PO2025000119,2025-08-23,SUP020,STR016,PRD00771,180,180,1436.13,2025-08-26,2025-08-25,Completed
PO2025000120,2025-08-15,SUP022,STR021,PRD00324,88,88,714.91,2025-08-27,2025-08-27,Completed
PO2025000121,2025-06-22,SUP044,STR025,PRD00014,62,62,4586.64,2025-07-08,2025-07-06,Completed
PO2025000122,2025-09-07,SUP058,STR003,PRD00935,103,103,586.1,2025-09-21,2025-09-21,Completed
PO2025000123,2025-11-30,SUP055,STR021,PRD01057,235,235,33.3,2025-12-03,2025-12-03,Completed
PO2025000124,2025-10-27,SUP015,STR001,PRD00261,39,39,5118.51,2025-11-01,2025-10-31,Completed
PO2025000125,2025-03-11,SUP038,STR020,PRD01160,64,64,3490.84,2025-03-22,2025-03-20,Completed
PO2025000126,2025-02-05,SUP044,STR003,PRD00012,35,35,4121.35,2025-02-21,2025-03-03,Delayed
PO2025000127,2025-04-29,SUP015,STR010,PRD00687,141,141,1789.17,2025-05-04,2025-05-04,Completed
PO2025000128,2025-03-15,SUP033,STR032,PRD00942,284,284,61.73,2025-03-21,2025-03-20,Completed
PO2025000129,2025-05-18,SUP049,STR015,PRD00189,29,29,5554.64,2025-06-03,2025-06-01,Completed
PO2025000130,2025-02-27,SUP006,STR021,PRD00857,81,81,2160.84,2025-03-04,2025-03-02,Completed
PO2025000131,2025-09-12,SUP051,STR034,PRD00827,140,140,2196.59,2025-09-16,2025-09-15,Completed
PO2025000132,2025-11-27,SUP003,STR008,PRD01087,31,31,3419.72,2025-12-16,2025-12-16,Completed
PO2025000133,2025-06-10,SUP045,STR016,PRD00940,259,259,38.86,2025-06-18,2025-06-17,Completed
PO2025000134,2025-01-23,SUP004,STR028,PRD00247,26,26,4992.42,2025-02-03,2025-02-02,Completed
PO2025000135,2025-07-28,SUP038,STR035,PRD00069,64,64,7701.34,2025-08-08,2025-08-07,Completed
PO2025000136,2025-11-18,SUP041,STR028,PRD00387,392,392,248.3,2025-12-03,2025-12-03,Completed
PO2025000137,2025-03-30,SUP045,STR028,PRD01135,162,162,1259.74,2025-04-07,2025-04-05,Completed
PO2025000138,2025-07-16,SUP020,STR023,PRD00938,302,302,327.33,2025-07-19,2025-07-17,Completed
PO2025000139,2025-05-20,SUP007,STR036,PRD01194,50,50,3885.18,2025-06-10,2025-06-08,Completed
PO2025000140,2025-02-23,SUP007,STR032,PRD00522,109,109,875.83,2025-03-16,2025-03-17,Completed
PO2025000141,2025-01-04,SUP027,STR012,PRD01168,92,92,2474.04,2025-01-23,2025-01-24,Completed
PO2025000142,2025-09-08,SUP018,STR025,PRD01126,94,94,1651.37,2025-09-24,2025-09-25,Completed
PO2025000143,2025-12-08,SUP018,STR041,PRD00453,178,178,946.37,2025-12-24,2025-12-25,Completed
PO2025000144,2025-10-18,SUP051,STR005,PRD00582,394,394,385.0,2025-10-22,2025-10-23,Completed
PO2025000145,2025-04-27,SUP002,STR019,PRD00361,169,169,825.7,2025-05-06,2025-05-05,Completed
PO2025000146,2025-07-01,SUP034,STR034,PRD01159,88,88,1499.26,2025-07-14,2025-07-28,Delayed
PO2025000147,2025-06-14,SUP021,STR001,PRD00838,156,0,1046.85,2025-06-27,,Cancelled
PO2025000148,2025-04-10,SUP058,STR025,PRD01136,36,36,4125.05,2025-04-24,2025-04-24,Completed
PO2025000149,2025-07-23,SUP022,STR034,PRD00661,281,281,283.68,2025-08-04,2025-08-02,Completed
PO2025000150,2025-06-09,SUP031,STR008,PRD00596,205,205,397.91,2025-06-16,2025-06-19,Delayed
PO2025000151,2025-02-16,SUP025,STR022,PRD00657,381,381,160.84,2025-03-04,2025-03-02,Completed
PO2025000152,2025-09-24,SUP020,STR036,PRD00502,179,179,628.72,2025-09-27,2025-09-27,Completed
PO2025000153,2025-08-16,SUP007,STR028,PRD00695,89,89,1276.46,2025-09-06,2025-09-05,Completed
PO2025000154,2025-09-30,SUP038,STR027,PRD01035,332,332,125.07,2025-10-11,2025-10-10,Completed
PO2025000155,2025-12-02,SUP038,STR038,PRD00077,53,53,12077.21,2025-12-13,2025-12-17,Delayed
PO2025000156,2025-06-05,SUP005,STR003,PRD00152,48,48,5421.82,2025-06-13,2025-06-12,Completed
PO2025000157,2025-08-19,SUP021,STR009,PRD01189,91,91,2237.37,2025-09-01,2025-09-02,Completed
PO2025000158,2025-11-03,SUP002,STR010,PRD01041,130,130,532.81,2025-11-12,2025-11-15,Delayed
PO2025000159,2025-05-24,SUP023,STR002,PRD01105,130,130,1508.52,2025-05-31,2025-06-10,Delayed
PO2025000160,2025-07-06,SUP029,STR006,PRD00910,151,151,1579.69,2025-07-24,2025-07-25,Completed
PO2025000161,2025-07-11,SUP012,STR037,PRD00136,39,39,5641.21,2025-07-22,2025-07-22,Completed
PO2025000162,2025-01-18,SUP050,STR023,PRD00104,68,68,17582.83,2025-01-22,2025-01-20,Completed
PO2025000163,2025-07-17,SUP031,STR037,PRD01002,299,299,55.69,2025-07-24,2025-07-22,Completed
PO2025000164,2025-03-06,SUP030,STR018,PRD00140,43,43,4851.7,2025-03-15,2025-03-19,Delayed
PO2025000165,2025-04-08,SUP054,STR024,PRD01125,150,150,1423.43,2025-04-14,2025-04-13,Completed
PO2025000166,2025-08-31,SUP052,STR025,PRD00892,114,114,1742.01,2025-09-07,2025-09-08,Completed
PO2025000167,2025-06-09,SUP019,STR029,PRD00963,186,186,63.76,2025-06-15,2025-06-16,Completed
PO2025000168,2025-01-14,SUP033,STR036,PRD00197,38,38,3779.03,2025-01-20,2025-01-19,Completed
PO2025000169,2025-03-07,SUP060,STR025,PRD00719,99,99,2759.21,2025-03-23,2025-03-24,Completed
PO2025000170,2025-02-02,SUP047,STR020,PRD00938,302,302,327.33,2025-02-09,2025-02-19,Delayed
PO2025000171,2025-06-12,SUP013,STR029,PRD00504,149,149,934.24,2025-06-22,2025-06-22,Completed
PO2025000172,2025-04-10,SUP020,STR040,PRD00310,259,259,303.74,2025-04-13,2025-04-12,Completed
PO2025000173,2025-04-26,SUP031,STR027,PRD00409,176,176,738.11,2025-05-03,2025-05-02,Completed
PO2025000174,2025-03-04,SUP003,STR039,PRD00314,370,370,372.41,2025-03-23,2025-04-02,Delayed
PO2025000175,2025-08-25,SUP040,STR036,PRD00571,331,331,143.49,2025-09-07,2025-09-14,Delayed
PO2025000176,2025-05-17,SUP022,STR039,PRD01126,94,94,1651.37,2025-05-29,2025-05-28,Completed
PO2025000177,2025-03-24,SUP046,STR019,PRD01186,154,154,1502.2,2025-04-08,2025-04-07,Completed
PO2025000178,2025-02-09,SUP009,STR007,PRD00398,200,200,173.35,2025-02-19,2025-02-20,Completed
PO2025000179,2025-10-23,SUP054,STR009,PRD01105,130,122,1508.52,2025-10-29,2025-11-01,Delayed
PO2025000180,2025-02-06,SUP015,STR015,PRD00309,133,133,637.15,2025-02-11,2025-02-17,Delayed
PO2025000181,2025-02-17,SUP024,STR030,PRD00875,183,183,150.9,2025-03-10,2025-03-11,Completed
PO2025000182,2025-11-11,SUP032,STR032,PRD01094,72,72,3797.17,2025-11-21,2025-11-19,Completed
PO2025000183,2025-06-14,SUP023,STR018,PRD00319,340,340,463.81,2025-06-21,2025-06-21,Completed
PO2025000184,2025-05-23,SUP046,STR003,PRD00162,38,38,6686.04,2025-06-07,2025-06-07,Completed
PO2025000185,2025-09-16,SUP059,STR021,PRD00670,79,79,1914.92,2025-09-22,2025-09-20,Completed
PO2025000186,2025-02-11,SUP038,STR002,PRD00672,26,26,3013.84,2025-02-22,2025-02-20,Completed
PO2025000187,2025-11-09,SUP012,STR031,PRD00047,30,30,17922.95,2025-11-20,2025-11-20,Completed
PO2025000188,2025-06-08,SUP011,STR001,PRD00448,154,154,518.56,2025-06-24,2025-06-23,Completed
PO2025000189,2025-06-27,SUP022,STR004,PRD00269,400,400,99.82,2025-07-09,2025-07-22,Delayed
PO2025000190,2025-01-25,SUP052,STR032,PRD00235,29,29,6683.62,2025-02-01,2025-02-01,Completed
PO2025000191,2025-11-13,SUP023,STR039,PRD00867,219,219,457.76,2025-11-20,2025-11-18,Completed
PO2025000192,2025-01-06,SUP006,STR017,PRD00031,73,73,13903.81,2025-01-11,2025-01-11,Completed
PO2025000193,2025-09-03,SUP017,STR035,PRD00701,61,61,3063.26,2025-09-11,2025-09-12,Completed
PO2025000194,2025-03-02,SUP052,STR018,PRD00942,284,284,61.73,2025-03-09,2025-03-08,Completed
PO2025000195,2025-08-20,SUP035,STR011,PRD00268,81,81,520.26,2025-09-09,2025-09-08,Completed
PO2025000196,2025-01-09,SUP055,STR029,PRD00456,382,382,169.99,2025-01-12,2025-01-10,Completed
PO2025000197,2025-01-27,SUP013,STR005,PRD01054,205,205,167.96,2025-02-06,2025-02-07,Completed
PO2025000198,2025-05-06,SUP036,STR018,PRD00249,38,38,3416.15,2025-05-17,2025-05-15,Completed
PO2025000199,2025-10-26,SUP015,STR009,PRD00815,168,168,1847.59,2025-10-31,2025-10-31,Completed
PO2025000200,2025-03-21,SUP006,STR003,PRD00444,386,386,285.96,2025-03-26,2025-03-24,Completed
PO2025000201,2025-04-13,SUP059,STR025,PRD00218,25,25,5051.02,2025-04-19,2025-04-18,Completed
PO2025000202,2025-05-13,SUP010,STR022,PRD00522,109,109,875.83,2025-05-20,2025-05-20,Completed
PO2025000203,2025-02-24,SUP006,STR029,PRD00681,139,129,2696.18,2025-03-01,2025-03-14,Delayed
PO2025000204,2025-10-07,SUP043,STR035,PRD00472,212,0,444.9,2025-10-27,,Cancelled
PO2025000205,2025-03-17,SUP023,STR005,PRD00079,34,34,13485.77,2025-03-24,2025-03-25,Completed
PO2025000206,2025-10-04,SUP037,STR031,PRD00527,107,107,741.27,2025-10-14,2025-10-12,Completed
PO2025000207,2025-10-15,SUP001,STR036,PRD00899,112,103,1458.76,2025-10-21,2025-10-28,Delayed
PO2025000208,2025-02-11,SUP025,STR021,PRD01078,150,150,1315.89,2025-02-27,2025-02-28,Completed
PO2025000209,2025-06-27,SUP003,STR022,PRD00526,89,89,592.24,2025-07-16,2025-07-17,Completed
PO2025000210,2025-12-25,SUP049,STR041,PRD00062,72,0,13798.59,2026-01-10,,In-Transit
PO2025000211,2025-11-30,SUP027,STR030,PRD00207,69,59,6742.14,2025-12-19,2026-01-01,Delayed
PO2025000212,2025-04-24,SUP023,STR011,PRD00704,114,114,707.14,2025-05-01,2025-04-29,Completed
PO2025000213,2025-04-30,SUP020,STR037,PRD00076,55,55,10725.57,2025-05-03,2025-05-02,Completed
PO2025000214,2025-03-01,SUP019,STR016,PRD00294,122,122,653.04,2025-03-07,2025-03-06,Completed
PO2025000215,2025-04-19,SUP053,STR016,PRD00852,172,172,1214.84,2025-04-28,2025-04-28,Completed
PO2025000216,2025-01-07,SUP057,STR028,PRD00202,137,137,865.49,2025-01-13,2025-01-24,Delayed
PO2025000217,2025-01-23,SUP007,STR033,PRD00590,185,185,243.18,2025-02-13,2025-02-13,Completed
PO2025000218,2025-04-29,SUP046,STR017,PRD00093,43,43,9704.07,2025-05-14,2025-05-15,Completed
PO2025000219,2025-01-26,SUP027,STR033,PRD00514,96,96,914.33,2025-02-14,2025-02-14,Completed
PO2025000220,2025-10-21,SUP048,STR027,PRD00825,85,85,1402.49,2025-11-03,2025-11-14,Delayed
PO2025000221,2025-06-20,SUP028,STR003,PRD00835,145,145,1008.2,2025-06-30,2025-06-30,Completed
PO2025000222,2025-05-22,SUP038,STR003,PRD00746,177,177,1526.01,2025-06-02,2025-06-03,Completed
PO2025000223,2025-05-15,SUP059,STR006,PRD01066,229,229,252.99,2025-05-21,2025-05-20,Completed
PO2025000224,2025-08-16,SUP058,STR002,PRD00375,228,228,365.06,2025-08-30,2025-09-02,Delayed
PO2025000225,2025-10-02,SUP019,STR031,PRD00850,116,116,1235.07,2025-10-08,2025-10-08,Completed
PO2025000226,2025-11-10,SUP053,STR022,PRD00937,396,0,177.56,2025-11-19,,Cancelled
PO2025000227,2025-09-28,SUP016,STR001,PRD00481,179,179,316.76,2025-10-13,2025-10-11,Completed
PO2025000228,2025-05-26,SUP057,STR006,PRD00757,82,0,1037.87,2025-06-01,,Cancelled
PO2025000229,2025-01-13,SUP022,STR018,PRD00537,283,283,78.78,2025-01-25,2025-01-26,Completed
PO2025000230,2025-01-27,SUP029,STR020,PRD00755,177,177,344.31,2025-02-14,2025-02-15,Completed
PO2025000231,2025-03-02,SUP025,STR033,PRD00344,168,168,433.6,2025-03-18,2025-03-18,Completed
PO2025000232,2025-10-01,SUP003,STR040,PRD00173,66,66,5751.32,2025-10-20,2025-10-21,Completed
PO2025000233,2025-05-16,SUP040,STR013,PRD01068,72,72,3495.2,2025-05-29,2025-05-28,Completed
PO2025000234,2025-09-15,SUP027,STR032,PRD00620,218,0,325.67,2025-10-04,,Cancelled
PO2025000235,2025-08-18,SUP029,STR015,PRD00966,169,169,526.45,2025-09-05,2025-09-06,Completed
PO2025000236,2025-11-18,SUP009,STR013,PRD00067,139,139,2694.72,2025-11-28,2025-11-28,Completed
PO2025000237,2025-11-17,SUP035,STR023,PRD01153,176,176,2499.55,2025-12-07,2025-12-06,Completed
PO2025000238,2025-03-18,SUP011,STR003,PRD00592,169,169,218.29,2025-04-03,2025-04-03,Completed
PO2025000239,2025-04-11,SUP054,STR022,PRD00158,155,155,2582.44,2025-04-17,2025-04-22,Delayed
PO2025000240,2025-11-12,SUP050,STR011,PRD01167,148,148,835.66,2025-11-16,2025-11-17,Completed
PO2025000241,2025-04-03,SUP022,STR038,PRD00024,54,54,15500.24,2025-04-15,2025-04-22,Delayed
PO2025000242,2025-08-02,SUP033,STR037,PRD00341,124,0,605.56,2025-08-08,,Cancelled
PO2025000243,2025-05-27,SUP021,STR029,PRD00516,107,107,502.56,2025-06-09,2025-06-08,Completed
PO2025000244,2025-07-04,SUP057,STR033,PRD00066,73,73,5820.76,2025-07-10,2025-07-08,Completed
PO2025000245,2025-06-24,SUP021,STR032,PRD01141,167,167,810.65,2025-07-07,2025-07-05,Completed
PO2025000246,2025-10-14,SUP037,STR026,PRD00557,327,327,134.43,2025-10-24,2025-10-25,Completed
PO2025000247,2025-09-17,SUP036,STR002,PRD00749,76,76,2444.77,2025-09-28,2025-09-27,Completed
PO2025000248,2025-11-09,SUP015,STR037,PRD00995,232,232,417.72,2025-11-14,2025-11-12,Completed
PO2025000249,2025-06-08,SUP014,STR038,PRD00488,93,93,835.86,2025-06-18,2025-06-19,Completed
